Fecha,Tem. [°C] Prom,Tem. [°C] Mín,Tem. [°C] Máx,Presion [hPa] Prom,Presion [hPa] Mín,Presion [hPa] Máx,Temp suelo [°C] Prom,Temp suelo [°C] Mín,Temp suelo [°C] Máx,Lluvia Acum[mm],Máx Inten. de Lluvia [mm/10min],Inten de Lluvia [mm/h],Vel de Viento [Km/h] Prom,Vel de Viento [Km/h] Máx,Hum [%HR] Prom,Hum [%HR] Mín,Hum [%HR] Máx,Raf. de Viento [km/h Prom,Raf. de Viento [km/h Máx
01/09/2018,7.607,2.66,13.09,988.546,985,991.25,13.056,12.2,14.2,0.2,0.2,1.2,13.228,27.278,64.772,47.11,79.58,21.625,61.376
02/09/2018,9.435,-2.22,20.18,986.35,981.875,991.25,13.622,10.9,17.1,0,0,0,4.498,11.648,63.006,32.49,94.14,8.905,23.416
03/09/2018,12.033,-1.41,24.41,985.768,983.125,988.75,14.749,11.7,18.3,0,0,0,6.494,12.372,56.105,24.98,92.58,11.562,24.341
04/09/2018,15.197,3.42,25.52,980.365,975,986.875,15.89,13.4,18.6,0,0,0,18.298,35.667,53.732,26.08,85.07,29.884,61.376
05/09/2018,20.149,12.99,29.86,973.043,968.125,978.125,17.445,15.3,20.2,0,0,0,29.026,42.386,42.932,21.78,61.21,47.338,73.567
06/09/2018,17.655,3.95,29.19,975.595,970,982.5,18.453,15.5,21.7,0,0,0,10.374,21.304,51.186,23.45,88.56,17.342,33.997
07/09/2018,17.74,9.75,27.7,981.128,976.875,985.625,18.923,16.4,22,0,0,0,10.664,22.712,54.341,30.24,83.58,17.99,36.009
08/09/2018,18.792,7.88,29.86,981.91,978.75,985.625,19.29,16.8,22.2,0,0,0,8.588,21.585,53.979,23.03,89.92,14.621,37.156
09/09/2018,18.122,9.62,27.25,982.487,978.75,985,19.627,17.3,22.2,0,0,0,8.032,21.223,53.02,27.42,80.53,13.482,39.208
10/09/2018,18.823,13.14,26.09,984.032,980,987.5,20.335,18.3,23,0,0,0,7.709,16.938,60.318,38.79,82.47,14.068,34.158
11/09/2018,17.876,11.89,24.29,980.247,975.625,985,20.144,18.8,21.7,0,0,0,11.752,23.738,69.221,45.51,91.88,19.28,61.376
12/09/2018,18.419,13.12,25.41,979.427,976.875,983.125,20.067,18.8,21.8,0,0,0,9.917,29.793,68.32,46.92,84.01,16.466,49.226
13/09/2018,15.748,13.21,19.44,981.697,978.75,984.375,19.278,18.5,20.4,9.6,2,12,6.889,17.079,85.562,64.03,99.52,12.176,28.928
14/09/2018,16.313,8.15,24.33,979.31,975,983.75,18.399,16.2,20.8,0,0,0,8.277,13.217,70.961,39.28,96.91,14.332,26.273
15/09/2018,16.589,9.92,24.35,975.907,972.5,979.375,18.574,16.6,21,0,0,0,9.611,19.835,71.602,41.45,100,16.469,40.334
16/09/2018,16.362,10.87,24.92,977.214,974.375,979.375,18.718,17.4,20.2,0.4,0.2,1.2,5.5,16.657,75.583,36.13,97.8,10.092,30.678
17/09/2018,16.717,7.17,26.88,975.564,971.875,979.375,18.282,15.8,21.1,0.2,0.2,1.2,8.77,21.203,66.721,30.06,100,14.505,32.992
18/09/2018,20.228,11.01,31.17,967.908,960.625,975,19.467,17.2,22.4,0,0,0,22.112,36.854,58.758,31.41,85.77,37.035,64.494
19/09/2018,15.761,8.31,22.41,977.6,972.5,982.5,19.364,17.2,21.4,0,0,0,10.672,21.082,44.658,20.85,73.46,18.688,37.739
20/09/2018,16.925,7.46,25.66,977.3,971.875,981.875,18.886,16.7,21.6,0,0,0,15.395,31.02,43.018,15.25,75.14,25.094,61.376
21/09/2018,21.91,07.08,34.79,972.014,967.5,976.25,20.299,17.1,24,0,0,0,12.665,27.278,51.505,17.95,87.83,21.332,61.376
